Ap Exam Code;Description;
7;United States History;
13;Art History;
14;Drawing;
15;2-D Art and Design;
16;3-D Art and Design;
20;Biology;
22;Seminar;
23;Research;
25;Chemistry;
28;Chinese Language and Culture;
31;Computer Science A;
32;Computer Science Principles;
33;Computer Science AB;
34;Microeconomics;
35;Macroeconomics;
36;English Language and Composition;
37;English Literature and Composition;
40;Environmental Science;
43;European History;
48;French Language and Culture;
51;French Literature;
53;Human Geography;
55;German Language and Culture;
57;United States Government and Politics;
58;Comparative Government and Politics;
60;Latin;
61;Latin Literature;
62;Italian Language and Culture;
64;Japanese Language and Culture;
66;Calculus AB;
68;Calculus BC;
69;Calculus BC: AB Subscore;
75;Music Theory;
76;Music Aural Subscore;'
77;Music Non-Aural Subscore;
78;Physics B;
80;Physics C: Mechanics;
82;Physics C: Electricity and Magnetism;
83;Physics 1;
84;Physics 2;
85;Psychology;
87;Spanish Language and Culture;
89;Spanish Literature and Culture;
90;Statistics;
93;World History: Modern;
94;;
95;;
96;;
